Catalogue No.	Artist Name	Title	Object Type	Transaction
F-A2000	GUERCINO GIOVANNI FRANCESCO BARBIERI (Italian)	"Quarante-sept dessins par Salvatorrosa, Guerchin ; Jules Romain, Guide & autres bons maîtres Italiens. (Sous ce no : Dessins)"	Dessin	"Vendu, 24 livres"
F-A2000	"JOUVENET, JEAN BAPTISTE (French)"	"Vingt-cinq Dessins, Études & Académies, par César Vanloo, Jouvenet, Boucher, Brilart, de Poilly, Boulogne, Lorrain, &c. (Sous ce no : Dessins)"	Dessin	"Vendu, 13 livres"
F-A2000	JULIEN (French)	"Dix Dessins par Greuze, Gibelin, de Wailly, Julien, la Fage & autres. (Sous ce no : Dessins)"	Dessin	"Vendu, 9 livres"
F-A2000	LAGRENÉE (French)	"Quatre Dessins, savoir : le Verrou, par Fragonard ; un intérieur de Ferme, par l'Épicier ; les deux autres, par MM. Huet & Lagrénée. Ces quatre dessins sont précieux. (Sous ce no : Un Dessin)"	Dessin	"Vendu, 39 livres"
F-A2000	"LE BRUN, CHARLES (French)"	"Onze Dessins, par Claude Lorrain, la Fage, Corneille, le Clerc, le brun, Poussin, Labelle & autres. (Sous ce no : Dessins)"	Dessin	"Vendu, 15 livres"
F-A2000	"MARATTI, CARLO (Italian)"	"Cent soixante & dix-sept dessins Italiens, par Tintoret, Guerchin, Guide, Cortonne, Carle Maratte, Ciroferi & autres bons maîtres, en un volume relié en veau. (Sous ce no : Dessins)"	Dessin	"Vendu, 42 livres"
F-A2000	"MIERIS, WILLEM VAN (Dutch)"	"Deux jolis Dessins á la pierre noire, précieusement termin'es sur velin."	Dessin	Inconnue
F-A2000	MONOGRAMMIST A.E.D. (Unknown)	"Un dessin á la plume, composition de cinq figures, représentant des enfants regardant un vieillard caractérisant la folie."	Dessin	Inconnue
F-A2000	"NATOIRE, CHARLES JOSEPH (French)"	"Dix-neuf Dessins, par Vander Meulen, Bourdon, Lafage ; Grégoire, Ostade, Vanloo, le Brun, Natoire, la Rue, Gois &c. (Sous ce no : Dessins)"	Dessin	"Vendu, 13 livres"
F-A2000	"NATOIRE, CHARLES JOSEPH (French)"	"Cinq Dessins par Charles Natoire, représentant Bacchus & Ariane, Apollon & les Muses ; Galatée sur les eaux, & autres compositions. Ces cinq dessins sont précieusement termionés & du plus beau faire de Natoire."	Dessin	"Vendu, 9 livres"
F-A2000	"NATOIRE, CHARLES JOSEPH (French)"	"Onze Dessins Académies, par deshayes, Boucher, Natoire, Carle, Vanloo, & autres. Ce lot distingue est du plus beau & du meilleu choix de ces maîtres. (Sous ce no : Dessin[s])"	Dessin	"Vendu, 51 livres"
F-A2000	"NATOIRE, CHARLES JOSEPH (French)"	Six Dessins coloriés par Natoire & Châtelet. (Sous ce nor : Dessins ; lot 223[b] par Châtelet)	Dessin	"Vendu, 24 livres"
F-A2000	"NORBLIN, JEAN PIERRE DE LA GOURDAINE (French)"	"Quatre Dessins, par Loutherbourg, Perignon, Norblin, & Fragonard. Ces quatre dessins sont précieux & intéressants. (Sous ce no : Un dessin)"	Dessin	"Vendu, 85 livres"
F-A2000	"POUSSIN, NICOLAS (French)"	"Onze Dessins, par Claude Lorrain, la Fage, Corneille, le Clerc, le Brun, Poussin, Labelle & autres. (Sous ce no : Dessins)"	Dessin	"Vendu, 15 livres"
F-A2000	"ROBERT, HUBERT (French)"	"Deux autres Dessins, par le même, coloriés, dont une Fontaine oú l'on vient puiser de l'eau ; l'autre offre un Sarcophage, derriere lequel se trouve un puits, oú de jeunes filles viennent puiser de l'eau. Ces deux dessins sont d'un effet piquant, & d'un mérite distingué."	Dessin	"Vendu, 49 livres"
F-A2000	"ROBERT, HUBERT (French)"	"Quinze autres Vues d'Italie, á la sanguine, sur papier blanc, par M. Robert. ces vues les plus pittoresques sont exécutées d'un touche spirituelle, qui distingue les productions de ce charmant Artiste."	Dessin	"Vendu, 81 livres"
F-A2000	"SEYDELMANN, CRESCENTIUS JOSEPHUS JOHANNES (German)"	"Quatre dessins, dont deux vues d'Italie, coloriées ; & deux grandes têtes ; par Seydelmann. (Sous ce no : Deux grandes têtes ; lot 162[a] par Anonyme)"	Dessin	"Vendu, 71 livres"
F-A2000	"TINTORETTO, JACOPO JACOPO ROBUSTI (Italian)"	"Neuf dessins Italiens par le Bourguignon, Tintoret, Jules Romain, Baroche, &c. &c. (Sous ce no : Dessins)"	Dessin	"Vendu, 9 livres"
F-A2000	"VANNI, FRANCESCO (Italian)"	"Dix-huit dessins Italiens par Romanelli, Ciroferri, Polidore, Vanins, Pietre de Cortone, Pierre Testa, Benedette & autres bons maîtres. Ce lot est rempli de dessins capitaux & intéressans. (Sous ce no : Dessins)"	Dessin	"Vendu, 100 livres"
F-A2000	"WATERLOO, ANTHONIE (Dutch)"	"Neuf études de paysages, par Waterlo, Lagrénée le jeune, Dunker, Panini, Tierce & autres, dont plusieurs colorid'es. (Sous ce no : Dessins)"	Dessin	"Vendu, 42 livres"
F-A2000	ANONYMOUS (Unknown)	"Trois miniatures, l'une représentant Louis XV, dans sa jeunesse, d'aprés le Moïne ; l'autre une femme coëssee en cheveux, & vue en buste dans ne bordure d'argent dorée ; & l'autre un Portrait de femme la gorge découverte. (Sous ce no : Deux miniatures ; lot 230[a] par Moïne)"	Miniature	"Vendu, 14 livres"
F-A2000	"LE MOYNE, FRANÇOIS (French)"	"Trois miniatures, l'une représentant Louis XV, dans sa jeunesse, d'après le Moïne ; l'autre une femme coëffee en cheveux, & vue en buste dans ne bordure d'argent dorée; & l'autre un Portrait de femme la gorge découverte. (Sous ce no : Un miniature ; lot 230[b] par Anonyme)"	Miniature	"Vendu, 14 livres"
F-A2000	"PANINI, GIOVANNI PAOLO (Italian)"	"Deux miniatures, d'aprés Jean-Paul Panini, reprd'esentant les plus beaux monumens & statues de Rome. Savoir, le Panthéon, la Colonne trajane, le Temple de la Sibylle, Tiburtine, l'arc de Vespasien, le Colisée, &c."	Miniature	"Vendu, 25 livres"
F-A2000	"ROBERT, HUBERT (French)"	"Deux miniatures d'aprés M. Robert ; l'une représentant plusieurs Monumens de Rome, éclairés par le Colisée qui est en feu. L'autre représentant les Cascatelles, oú l'on voit dans le haut le Temple de la Sibille Tiburtine."	Miniature	"Vendu, 13 livres"
F-A2000	ANONYMOUS (Unknown)	Deux Esquisses de lions.	Peinture	"Vendu, 4 livres"
F-A2000	"BERCHEM, NICOLAES PIETERSZ. (Dutch)"	"Deux tableaux faits en Italie, touchés avec facilité."	Peinture	"Vendu, 23 livres"
F-A2000	"DIETRICH, CHRISTIAN WILHELM ERNST (German)"	"Notre-Seigneur guérissant les malades, composition de 22 figures de différens âges ; ce Tableau du plus grand effet est aussi dans la maniére de Rembrant."	Peinture	"Vendu, 81 livres"
F-A2000	GENNARI (Italian)	"Bacchus & Arianne dans l'Isle de Naxos, environnés de plusieurs grouppes de Faunes, de Femmes & d'Amours. Ce Tableau agréable tient de la manid'ere vigoureuse de l'Albane."	Peinture	"Vendu, 100 livres"
F-A2000	"JULIEN, SIMON (French)"	Salmacis & Hermaphrodite : composition agréable & d'un ton clair.	Peinture	"Vendu, 6.1 livres"
F-A2000	"LAURI, FILIPPO (Italian)"	"Le Triomphe de Bacchus, composition de treize figures. Ce Tableau, fin de ton, est un des plus agréables & des plus riches de ce maître."	Peinture	"Vendu, 150 livres"
F-A2000	"LOUTHERBOURG, PHILIP JAMES DE (British)"	"Un Paysage oú l'on voit sur le devant un Pâtre en repos, & une femme assise, tandis que des bestiaux s'approchent de l'eau pour boire. Plus loin & sur une hauteur on voit deux Chasseurs, dont l'un couche en joue des oifeaux. Ce Tableau d'un ton chaud est d'une composition agréable."	Peinture	"Vendu, 60 livres"
F-A2000	"MIGNARD, PIERRE I (French)"	"Quatre portraits du regne de Louis XIV. Savoir Madame de Fontanges, Madame de la Valliere, Madame de Montespan & Madame de Maintenon. Ils sont de formes ovales en travers."	Peinture	"Vendu, 48 livres"
F-A2000	"NEEFFS, PEETER THE ELDER (Flemish)"	"L'intérieur d'une Église de Flandres oú l'on voit un Prédicateur en Chaire venant de finir son Serman ; nombre de grouppes, aussi variés qu'agréables sont peints par Baudoins."	Peinture	"Vendu, 80 livres"
F-A2000	"PEETERS, BONAVENTURA I (Flemish)"	"La vue d'un Port, oú l'on voit plusieurs galeres & vaisseaux en rade ; le fond est terminé par des montagnes & ruines de monumens. Plusieurs figures enrichissent le devant."	Peinture	"Vendu, 48 livres"
F-A2000	"RENI, GUIDO (Italian)"	"Saint-François guérissant des aveugles, composition de dix figures."	Peinture	"Vendu, 10 livres"
F-A2000	"RENI, GUIDO (Italian)"	Jesus & Saint-Jean dans le Désert : ancienne copie dont l'original est chez le Roi.	Peinture	"Vendu, 24 livres"
F-A2000	TIZIANO VECELLIO (Italian)	"Une tête de femme, vue en buste d'aprés le Titien."	Peinture	"Vendu, 3 livres"
F-A2000	"TORREGIANI, BARTOLOMEO (Italian)"	Un paysage pittoresque composé de Roches & d'Arbres. Trois Figures semblent parler ensemble. Dans le lointain á gauche sur une grand eétendue d'eau l'on voit plusieurs Vaisseaux & des Montagnes.	Peinture	"Vendu, 24 livres"
F-A2000	"WATTEAU, JEAN ANTOINE (French)"	"Quatre Tableaux dont deux d'aprés Wouvermans, & deux d'aprés Wateau. (Sous ce no : Deux tableaux ; lot 121[a] par Wouwerman)"	Peinture	"Vendu, 11 livres"
F-A2000	ANONYMOUS (Unknown)	"Une Figure de femme quise tire une épine du pied : Ce joli Bronze fin d'exécution, porte 4 pouces de hauteur, sur un pied-d'estal de bois á filet de cuivre."	Sculpture	"Vendu, 30 livres"
F-A2000	ANONYMOUS (Unknown)	"La Vénus de Médicis, modellée en cire, couleur de chair, sur verre noir. Une tête de jeune Hercule sculptée en ivoire, & un buste du Laocoon en pâte, composé imitant le camée. (Sous ce no : La Vénus de Médicis)"	Sculpture	"Vendu, 9 livres"
F-A2000	ANONYMOUS (Unknown)	"Une Figure de femme, représentant la prudence sur un pied de marbre noir."	Sculpture	"Vendu, 13 livres"
F-A2000	ANONYMOUS (Unknown)	"Une figure de femme drapée, de neuf pouces de hauteur, placée sur un pied marbre blanc, avec socle de jaune antique, enrichi d'un bas relief en bronze, représentant Hercule qui étousse le lion."	Sculpture	"Vendu, 18 livres"
F-A2000	ANONYMOUS (Unknown)	"Deux figures de femmes, l'une représente la Vénus aux belles sesses ; & l'autre une femme se tirant une épine du pied."	Sculpture	"Vendu, 19 livres"
F-A2000	LEGROS (French)	"Un bas relief en marbre, représentant la peinture & la sculpture, appuyées sur la thorse antique. Sur la droite, on voit un enfant occupé á dessiner. Hauteur 25 pouces, largeur 27 pouces. Ce bas relief rare & capital, est un morceau distingué."	Sculpture	"Vendu, 60 livres"
F-A2001	ANONYMOUS (Unknown)	Plusieurs Tableaux & Dessins qui seront divisés sous ce N°.	Peinture	Inconnue
F-A2001	"DESHAYS, JEAN-BAPTISTE-HENRI (French)"	"Le Portrait de l'Epouse de cet Artiste, elle est vue à mi-corps & occupée à lire une lettre. Ce Tableau, d'une touche facile & d'une belle couleur, porte 13 pouces 9 lignes de haut, sur 17 pouc. 9 lignes de large."	Peinture	Inconnue
F-A2002	"FEDI, ANTONIO (Italian)"	"Dix-huit Portraits d'Artistes célèbres, tels qu'André del Sarté, Raphaël, Jules Romain, les Carraches, le Dominiquain, le Guide, le Titien, P. Veronèse, Rubens, Van Dyck & autres, dessinés à la pierre noire, par Fedi."	Dessin	Inconnue
F-A2002	TIZIANO VECELLIO (Italian)	"Le Triomphe de Bacchus, grande composition, d'après le Titien."	Peinture	Inconnue
F-A2002	"MARIN, JOSEPH-CHARLES (French)"	"Différentes Etudes de Figures, Projets & Groupes d'Enfants, par les mêmes [MM. Clodion et Marin], qui seront divisées sous ce numéro. (Sous ce no.:  Différentes Etudes)"	Sculpture	Inconnue
F-A2003	ANONYMOUS (Unknown)	"Trois Dessins, dont un Joueur de musette, par de Breughel, une tête de guerrier, & un Saint-Paul. (Sous ce no : Une tête de guerrier & un Saint-Paul ; lot 651[a] par Breughel)"	Dessin	Inconnue
F-A2003	ANONYMOUS (Unknown)	"Quatre Dessins, dont un de Berghem, un de d'Heus, & deux autres, dont un colorié. (Sous ce no : Deux dessins)"	Dessin	Inconnue
F-A2003	ANONYMOUS (Unknown)	"Quatre Dessins, par différens maîtres ; un représente les Pellerins d'Emaüs, le baptême de st. Jean, de le Brun ; une salle de bain, par Natoire ; & un paysage de M. Tavernier. (Sous ce no : Les Pellerins d'Emaüs)"	Dessin	Inconnue
F-A2003	"BOUCHER, FRANÇOIS (French)"	"Un Dessin á la pierre noire, par F. Boucher."	Dessin	Inconnue
F-A2003	ANONYMOUS (Unknown)	"Un Tableau, paysage & vue de riviére, orné de figures sur toile."	Peinture	"Inconnue, 31 livres"
F-A2003	ANONYMOUS (Unknown)	"Deux Tableaux sans bordure, dont une copie de Jordans, & l'autre l'annonce aux Bergers. (Sous ce no : L'annonce aux Bergers ; 407[a] une copie de J. Jordaens (I))"	Peinture	"Vendu, 9.13 livres"
F-A2003	ANONYMOUS (Unknown)	"Quatre TAbleaux sur toile, sans bordure, représentant des paysages & figures."	Peinture	"Inconnue, 18 livres"
F-A2003	ANONYMOUS (Unknown)	"Six Tableaux paysages, par différens Maîtres, sur toile, sans bordures."	Peinture	"Vendu, 44.19 livres"
F-A2003	ANONYMOUS (Unknown)	Six Tableaux sur toile sans bordure ; représentant des Paysages & autres sujets.	Peinture	"Vendu, 18 livres"
F-A2003	ANONYMOUS (Unknown)	"Deux Tableaux, marines, sur toile, dont un de Backhuysen. (Sous ce no : Un marine; 531[b] par Backhuysen)"	Peinture	"Vendu, 15.19 livres"
F-A2003	ANONYMOUS (Unknown)	"Quatre Tableaux, dont une tête de Christ, deux de Vierges & une autre."	Peinture	"Inconnue, 6 livres"
F-A2003	ANONYMOUS (Unknown)	"Un Tableau représentant les trois Grâces sur le devant d'un paysage, sur toile sans bordure."	Peinture	"Vendu, 30 livres"
F-A2003	ANONYMOUS (Unknown)	"Un Paysage avec Fabrique, vue d'un site d'Italie, & chutes d'eau sur la droite, ornés de figures & animaux."	Peinture	"Vendu, 25.1 livres"
F-A2003	ANONYMOUS (Unknown)	Huit Tableaux par différents Maîtres sur toile & sur bois.	Peinture	"Inconnue, 48.1 livres"
F-A2003	"ASSELYN, JAN (Dutch)"	"Un beau Paysage d'un site pittoresque, orné sur la droite d'une masse de ruines & de buissons, au bord d'une grande riviere qui coule entre des montagnes & vient occuper la gauche des premiers plans; un troupeau de cinq vaches & de six moutons traversont l'eau, ils sont conduits par un Pâtre vu par le dos. Ce tableau éclairé au soleil couchant est d'une grande vérité, un ton chaud & vigoureux rent cette production des plus capitales de ce Maître."	Peinture	"Vendu, 401 livres"
F-A2003	"BACKHUYSEN, LUDOLF (Dutch)"	Une grande étendue de mer agitée : on y voit plusieurs chalouppes & un gros vaisseau hollandois. Ce tableau peut être mis au nombre des bons ouvrages de ce maître.	Peinture	"Vendu, 400 livres"
F-A2003	"BEGA, CORNELIS PIETERSZ. (Dutch)"	"Une Place publique oú l'on voit un Charlatan monté sur un traiteau, & quantité d'hommes & femmes autour de lui; les fonds offrent la vue d'un village."	Peinture	"Vendu, 120 livres"
F-A2003	"BOUCHER, FRANÇOIS (French)"	"Un Tableau d'une composition agréable, représentant des Amours présidant á la toilette de Vénus; ce morceau brillant de couleur est du meilleur temps de ce Maître."	Peinture	"Vendu, 316 livres"
F-A2003	"CABEL, ADRIAN VAN DER (Dutch)"	"La vue d'un port de mer, avec figures sur les devants, par Vanderkabel."	Peinture	"Vendu, 12.19 livres"
F-A2003	"CAPPELLE, JAN VAN DE (Dutch)"	"La vue d'une mer agitée, oú l'on voit sur la droite, une barque de pêcheurs, & plus loin sur la gauche un gros vaisseau; ce tableau offre un cien bien nuagé."	Peinture	"Vendu, 45 livres"
F-A2003	"CARRACCI, LUDOVICO (Italian)"	"Un Tableau attribué á Louis Carrache, représentant Diane surprise au bain; cette composition de quatre figures, est d'une touche large & d'une couleur vigoureuse."	Peinture	"Vendu, 89 livres"
F-A2003	"CASTIGLIONE, GIOVANNI BENEDETTO IL GRECHETTO (Italian)"	"Une marche d'animaux sur le devant d'un paysage, & ruines d'architecture ornée de trois figures. Ce Tableau, d'une touche franche & facile, est du bon faire de ce maître."	Peinture	"Vendu, 91 livres"
F-A2003	CROOS (Dutch)	"Une vue de riviere, la droite offre de belles fabriques & masses de paysages enrichis de figures sur différents plans."	Peinture	"Vendu, 48 livres"
F-A2003	"CUYP, AELBERT (Dutch)"	"Deux Tableaux, dont un du vieux Cuyp, représentant le srapement du rocher, & l'autre l'enlévement de deux Nymphes. (Sous ce no : Le srapement du rocher ; 587[b] par Anonyme)"	Peinture	"Vendu, 18 livres"
F-A2003	"CUYP, AELBERT (Dutch)"	"Deux portraits, dont un d'homme, vêtu de noir, sa tête nue & collerette blanche : la femme a la tête couverte d'une tocque noire & sraise au col. Ces deux têtes sont d'une touche savante, & due bon tems de ce maître."	Peinture	"Vendu, 240 livres"
F-A2003	"DECKER, CORNELIS GERRITSZ. (Dutch)"	"Un Paysage & figures de Decker, sur bois."	Peinture	"Vendu, 10 livres"
F-A2003	"DOLCI, CARLO (Italian)"	"Une tête de Christ couronnée d'épines, portant sa croix. Ce Tableau, d'un grand caractére, est d'une couleur & d'une touche suave."	Peinture	"Vendu, 100 livres"
F-A2003	"DUGHET, GASPARD GASPARD POUSSIN (French and Italian)"	"Un Paysage, genre du Guaspre, avec un group de figures de femme sur le devant."	Peinture	"Vendu, 36 livres"
F-A2003	FLEMISH (Flemish)	"Quatre Tableaux, dont un paysage manid'ere de G. de Heüs, un autre de Mole, & un autre paysage, oú se voient plusieurs cerfs, par un Maître Flamand. (Sous ce no : Un paysage oú se voient plusieurs cerfs ; 620[a] par le maniére de G. de Heüs ; 620[b] par Mole ; 620[c] par un anonyme)"	Peinture	"Inconnue, 40 livres"
F-A2003	"GOYEN, JAN JOSEPHSZ. VAN (Dutch)"	"La vue d'un village, auprés est un port de mer, orné de barques & de pêcheurs."	Peinture	"Vendu, 88.19 livres"
F-A2003	"GOYEN, JAN JOSEPHSZ. VAN (Dutch)"	"Un Paysage, fabriques & vues de rivieres, ornés de plusieurs figures; ce tableau est d'un ton argentin."	Peinture	"Vendu, 81 livres"
F-A2003	"GREUZE, JEAN BAPTISTE (French)"	"Le Buste d'une jeune femme, elle a les cheveux bouclés & la gorge couverte d'un fichu de gaze, & mantelet noir, ce tableau est d'une grande finesse de touche."	Peinture	"Vendu, 24.3 livres"
F-A2003	"HAGEN, JORIS VAN DER (Dutch)"	"La vue d'une campagne á vue d'oiseau par Vanderhague & Vandevelde, sur le devant á droite plusieurs masses d'arbres ; á la gauche une Prairie ornée de plusieurs animaux, par Adrien Vandevelde."	Peinture	"Vendu, 30.1 livres"
F-A2003	"HALS, FRANS I (Dutch)"	"Deux têtes d'hommes par Frank Hals, dont une vue de profil avec chapeau ront & fraise au col, vêtu d'un manteau gris ; l'autre vue de face, assis, vêtu de noir, & tenant un chapeau."	Peinture	"Vendu, 23 livres"
F-A2003	"HEUSCH, WILLEM DE (Dutch)"	"Un Paysage d'un ton chaud ; au milieu est une masse d'eau, à côté l'on voit un homme qui conduit un mulet.  Hauteur 11 pouces, largeur 13 pouces. T[oile]."	Peinture	"Vendu, 83 livres"
F-A2003	"HEYDEN, JAN VAN DER (Dutch)"	"Un Tableau des plus précieux & trés-agréable, offrant la vue d'un beau jardin hollandois, orné de berceaux & charmilles : Adrien Vandenvelde y a placé plusieurs figures distribuées avec intelligence, & d'une grande finesse de touche."	Peinture	"Vendu, 443 livres"
F-A2003	"HOBBEMA, MEINDERT (Dutch)"	"La vue d'un riche Paysage avec chaumiéres sur le devant, la droite offre une belle campagne, oú se voit un pont de bois sous lequel passe une riviere; les devants sont ornés de troncs d'arbres, plantes & rouseaux. Ce tableau qui est de la touche la plus sçvante, peut être mis en compáraison avec les plus beaux Ruisdal."	Peinture	"Vendu, 501 livres"
F-A2003	"HOBBEMA, MEINDERT (Dutch)"	"Un Paysage & vues de rivieres, orné de troncs d'arbres sur les devants ; ce bon tableau est d'Obéma."	Peinture	"Vendu, 81 livres"
F-A2003	ITALIAN (Italian)	"Trois Tableaux, sujets de dévotion, dont deux de l'Ecole d'Italie, & un de L'Ecole Françoise. (Sous ce no : Deux tableaux de l'Ecole d'Italie; lot 364[b] par L'Ecole Fran',coise.)"	Peinture	"Vendu, 40 livres"
F-A2003	"JOUVENET, JEAN BAPTISTE (French)"	"Latone vengée, copie d'aprés Jouvenet, peint sur toile de forme ovale."	Peinture	"Vendu, 72 livres"
F-A2003	"LAER, PIETER VAN BAMBOCCIO (Dutch)"	"L'entrée d'une ancienen Ville, oú l'on voit á la gauche un sauconnier conduisant une meute de chiens, les devants sont ornés de figures & sur différents plans."	Peinture	"Vendu, 36 livres"
F-A2003	"LOCATELLI, ANDREA (Italian)"	"Deux Paysages, dans l'un l'on voit le sujet d'Agar, & dans l'autre celui de Tobie ; peint sur toile, dans le genre de Locatelly."	Peinture	"Vendu, 71 livres"
F-A2003	"LOOTEN, JAN (Dutch)"	"La vue d'un bois & site pittoresque, ornée de belles figures sur différents plans, par Lingelback; le milieu offre un peré qui laisse voir de beaux lointains qui se lient á l'horison: cette riche composition est d'une touche franche & d'une bonne couleur."	Peinture	"Vendu, 110 livres"
F-A2003	"MICHAU, THEOBALD (Flemish)"	"Une vue de Village de Flandre, orné d'un grande nombre de figures & animaux, & plusieurs charriots & riviere qui coupent la droite de ce Tableau, peint par Michau."	Peinture	"Vendu, 66 livres"
F-A2003	"MOLENAER, KLAES (Dutch)"	"La vue d'un village & canal glacé, oú l'on voit plusieurs patineurs, la droite est ornd'ee d'une masse d'arbres de neige."	Peinture	"Inconnue, 12 livres"
F-A2003	"MOLENAER, KLAES (Dutch)"	"Un Paysage, d'un effet trés-agréable, avec fabriques, moulins & vue de riviere, sur laquelle sont plusieurs barques de pêcheurs."	Peinture	"Vendu, 30 livres"
F-A2003	MOREAU (French)	"Deux Paysages, représentant des vues de campagne des plus riantes, ornée de fabriques & vues de rivieres; ces deux  tableaux sont d'une touche facile & spirituelle, & d'une belle couleur."	Peinture	"Vendu, 200 livres"
F-A2003	"MOREELSE, PAULUS (Dutch)"	"Le Portrait d'une jeune fille, sur le devant d'un paysage, elle tient une couronne de fleurs. Ce tableau est d'une touche ferme, & rendu avec une grande vérité."	Peinture	"Vendu, 86 livres"
